vacillant|Empr. au lat. vacillare  « chanceler » au sens propre et fig. 
versificateur|Empr. au lat. versificator  « celui qui écrit des vers, qui tourne en vers », empl. par Quintilien, p. oppos. à  poeta  « poète » , avec une nuance péj. à laquelle fait réf.  Du Bellay ,  loc. cit. ; l'anc. lang. employait également  versefieur ,  versifieur  att. du déb. du  xiii <sup e</sup s. au  xv <sup e</sup s. , repris dans la lexicogr. de  Boiste  1800 à  Guérin Suppl.  1895. Sur la dissociation sém.  versificateur / poète , v. P.  Zumthor ,  Neophilologus , t. 39, p. 248. 
versification|Empr. au lat. versificatio  « action de composer des vers » ;  cf.  une attest. isolée de  versification  au sens de « poème » . 
versifier|Empr. au lat. versificare  « écrire en vers, tourner en vers ». 
version|Empr. au lat. médiév. versio  « changement, transformation » , « action de tourner, de retourner » , « traduction » , v.  Latham , dér. de  versum  supin de  vertere  « tourner, faire tourner, se tourner, changer, transformer » et « faire passer d'une langue dans une autre, traduire ». 
vertical|Empr. au lat. verticalis  « vertical », dér. de  vertex, verticis  « sommet ». 
verticale|Empr. au lat. verticalis  « vertical », dér. de  vertex, verticis  « sommet ». 
verste|Empr. au russe verstá  « mesure itinéraire valant 1 067 mètres », a. russe « mesure de longueur », apparenté au lat.  vorsus, versus  « ligne »,  cf. Vasmer . 
verticille|Empr. au lat. verticillus  « peson de fuseau ».  Cf. Tournefort ,  loc. cit. : ,,Ces sortes de plantes s'apellent verticillées du mot Latin  verticillus , qui est un petit poids percé d'un trou où l'on engage le bas d'un fuseau à filer, afin de le faire tourner avec plus de facilité. Les tiges des plantes verticillées ressemblent assez à des fuseaux qui seroient garnis dans leur longueur de plusieurs de ces poids``. 
vespertilion|Empr. au lat. vespertillio, -onis  « chauve-souris ».
vestige|Empr. au lat. vestigium , propr. « trace du pied », d'où en gén. « trace ». 
veuglaire|Empr. au m. néerl. vogelaer , de même sens que le français.
vessigon|Empr. à l'ital. du Nord vescicone  « enflure au jarret du cheval » , propr. « grosse vessie », dér. de  vescica  « vessie », issu du lat.  vēsīca  avec infl. du lat. tardif  vissīre  « vesser » . Voir  FEW  t. 14, p. 342b. 
vestale|Empr. au lat. vestalis  adj. « de Vesta » [ Vestalis virgo ,  Tite Live ], subst. « prêtresse de Vesta ». 
vespéral|Empr. au b. lat. vesperalis  astron. « du couchant » . Au sens A,  vesperalis  semble moderne. 
veste|Empr. à l'ital. veste  « vêtement; élément de l'habillement » , du lat.  vestis , acc.  veste  «  id.  ». Voir  FEW  t. 14, pp. 356b-357a. 
vespérie|Empr. au lat. ecclés. vesperia , sens 1 a, s.d. ds  Blaise Latin. Med. Aev. ; 1328,  Nicolas Trivet  ds  Du Cange .
vibraphone|Empr. à l'angl. vibraphone formé sur les syll.  vibra-  de  vibration  ou  vibrato  avec l'élém. corresp. au fr.  -phone *.
vexateur|Empr. au lat. vexator  « persécuteur, bourreau; celui qui pourchasse », dér. de  vexare  . 
vexation|Empr. au lat. vexatio  « agitation violente », au fig. « mal, tourment »; « mauvais traitement, persécution », dér. de  vexare  . 
vexatrice|Empr. au lat. vexator  « persécuteur, bourreau; celui qui pourchasse », dér. de  vexare  . 
vibration|Empr. deux fois au lat. tardif vibratio  « action de brandir », « action d'agiter  », dér. de  vibrare  . 
vexer|Empr. au lat. vexare  « secouer; tourmenter, persécuter; malmener en paroles » intensif de  vehere  « transporter; charrier ». 
vexillaire|Empr. au lat. vexillarius  « porte-enseigne », dér. de  vexillum  .
vicaire|Empr. au lat. class. vicarius  « remplaçant » d'où en lat. chrét. « remplaçant d'un préfet du prétoire » et en lat. médiév. « titre que portaient des fonctionnaires chargés de l'administration », d'où le sens 1; dès le lat. chrét.  vicarius Christi  « vicaire du Christ », titre appliqué au pape pour la première fois au  v <sup e</sup s. , puis en lat. médiév., désigne le prêtre qui aide et remplace éventuellement le curé;  vicarius  est dér. de  vicis , forme de génitif « tour, succession, alternative », v. l'élém. formant  vice- *; v. aussi  viguier . 
vexille|Empr. au lat. vexillum  « étendard, drapeau », dimin. de  velum  « voile, toile, tenture ».
vexillum|Empr. au lat. vexillum  « étendard, drapeau », dimin. de  velum  « voile, toile, tenture ».
vibrer|Empr. deux fois au lat. vibrare , trans. « brandir; imprimer un mouvement vibratoire à quelque chose; lancer » , intrans. « avoir des vibrations, des tremblements; vibrer [en parlant des sons] » . 
viatique|Empr. au lat. viaticum  « provisions de voyage; argent pour le voyage », neutre subst. de l'adj.  viaticus  « du voyage » , dér. de  via  « voie, route, chemin »; « marche, voyage ». 
vice|Empr. au lat. vitium  « défaut, imperfection, tare; défaut physique, difformité, infirmité; défaut , vice ». 
vibord|Empr. à un mot dan. ou norv., cf.  l'a. nord.  vígi  « bastingage, plat-bord »; la 2<sup e</sup part. du mot représente  bord *, sans qu'il ne soit possible de dire si le mot existait déjà comme comp. en a. nord. ou si la compos. s'est faite plus tard.  FEW  t. 17, p. 428b.
vibrisse|Empr. au b. lat. vibrissae  « poils du nez ».
victimaire|Empr. au lat. victimarius  « victimaire, ministre des autels qui préparait tout pour le sacrifice; marchand d'animaux destinés au sacrifice », dér. de  victima  .
victime|Empr. au lat. victima  « victime, animal destiné au sacrifice », lat. chrét., p. méton. « égorgement, immolation; sacrifice » , d'où le sens A. 
victimé|Empr. au lat. d'époque impériale victimare  « égorger ou sacrifier  », dér. de  victima  . 
victimer|Empr. au lat. d'époque impériale victimare  « égorger ou sacrifier  », dér. de  victima  . 
victoire|Empr. au lat. victoria  « victoire ; succès, triomphe; la déesse Victoire, statue de la Victoire »; dér. de  victor  « vainqueur », et celui-ci de  vincere  . 
vicié|Empr. au lat. vitiare  « rendre défectueux, gâter, corrompre, altérer; déshonorer; frapper de nullité; falsifier »; dér. de  vitium  . 
vicier|Empr. au lat. vitiare  « rendre défectueux, gâter, corrompre, altérer; déshonorer; frapper de nullité; falsifier »; dér. de  vitium  . 
victorieux|Empr. au b. lat. victoriosus  « victorieux », dér. de  victoria  . 
vicieux|Empr. au lat. vitiosus  « gâté, corrompu; défectueux, mauvais, entaché de vice, irrégulier », dér. de  vitium  . 
vicinal|Empr. au lat. vicinalis  « de voisinage, voisin; vicinal », en partic.  via vicinalis  « voie vicinale  », dér. de  vicinus  .  Cf.  m. fr.  voisinal  . 
vicissitude|Empr. au lat. class. vicissitudo  « alternative, échange, passage successif d'un état dans un autre »  cf. fortunae vicissitudines  « les vicissitudes de la fortune » chez Cicéron; dér. de  vicis  forme du génitif « tour, succession »,  cf.  l'élém. formant  vice- *. 
vicennal|Empr. au b. lat. vicennalis  « qui a lieu tous les vingt ans » d'où le subst. plur.  vicennalia  « fête célébrée après vingt ans de règne d'un empereur », de  vicennium  « espace de vingt ans », comp. de  vicies  « vingt fois » et de  annalis  « relatif à l'année », dér. de  annus , v.  an .
vicomte|Empr. au lat. médiév. vicecomes  « délégué permanent du comte, exerçant ses fonctions dans l'ensemble du comté » , comp. de  vice- et  comes sur le modèle du lat. médiév.  vicedominus  att. au  vi <sup e</sup s. . 
vidrecome|Empr. à l'all. wiederkommen  « revenir ». 
viduité|Empr. au lat. viduitas, -atis  « privation; viduité »;  cf.  le synon. de formation pop. a. fr.  veveé  , et de là, par substitution du suff.  -eté − et malgré l'écart chronol. des ex. −  veuveté  . 
vidéotex|Empr. à l'angl., usité surtout en Amérique du Nord videotex comp. de  video et de  tex  d'apr. le nom de marque déposé  teletex  désignant un réseau télématique. 
vidéo|Empr. à l'angl. video  formé sur le lat.  vidēre  « voir » d'apr.  audio- att. dep. 1935 en empl. adj. et dep. 1937 comme subst., notamment au sens gén. de « télévision », puis au sens partic. de « appareil d'enregistrement d'images de télévision »  puis « enregistrement d'images de télévision »  p. abrév. de  video recorder  et  video recording  d'où « production et utilisation d'enregistrements télévisuels »  v.  NED Suppl. <sup 2</sup La var. de genre est due sans doute aux empl. qui représentent l'abrév. de syntagmes tels que  signal vidéo , masc. et  vidéo fréquence  ou  bande vidéo , fém. 
vidicon|Empr. à l'angl. vidicon  , comp. de  vid-  de  video et de  icon-  de  iconoscope  . 
vigogne|Empr. à l'esp. vicuña  « ruminant péruvien du genre lama », att. dep. 1554 , lui-même empr. au quichua  vikuña  «  id.  ».  FEW  t. 20, p. 84a. 
vilipender|Empr. au lat. médiév. vilipendere  « dénigrer » 1090 ds  Latham , part. prés.  vilipendens  att. dès 864 , comp. de  vilis  « vil » et  pendere  « peser, estimer ». 
vigueur|Empr. au lat. vigor  « énergie physique ou mentale, vie, vitalité » et dans le domaine jur. « force, validité » . 
viking|Empr. à une lang. scand. . 
vigilance|Empr. au lat. vigilantia  « habitude de veiller, soin vigilant, attention », dér. de  vigilare  . 
vigilant|Empr. au lat. vigilans  « attentif, soigneux », part. prés. adj. de  vigilare  « veiller ». 
vigile|Empr. au lat eccl. vigilia  « veillée religieuse ». 
villanelle|Empr. à l'ital. villanella  « petite chanson paysanne » , dér. de  villano  « paysan » . 
vilayet|Empr. au turc vilâyet  « province, préfecture », et celui-ci à l'ar.  wilāya  « préfecture, gouvernement, administration , province », dér. de  waliya  « être préposé à quelque chose; gouverner, régir, administrer » .
vierge|Empr. au lat. virgo, -inis  « jeune fille, vierge », en appos.  virgo filia  « fille vierge »; désigne spéc. les Vestales , Diane ; terme de cosmographie « constellation de la Vierge » ; fig. en appos. « vierge, qui n'a pas encore servi » . Le développement sém. du mot se fait en rel. avec la théol. chrét., notamment en parlant du Christ et de sa Mère,  cf. iv <sup e</sup s.,  Hier. ,  Iov. , 2, 8:  ille  [ Christus ]  virgo de virgine; Virgo immaculata  « la Vierge Marie » .  Virginem  a été rendu par  virgene , puis  virge  par élimination de la syll. finale; devenu  vierge  par développement de  e  entre  i  et  r  suivi de cons. . 
villégiature|Empr. à l'ital. villeggiatura  « séjour à la campagne » , dér. de  villeggiare  « séjourner dans sa maison de campagne pour s'y reposer ou s'y divertir », dér. de  villa  . 
villeux|Empr. au lat. villosus  « velu, couvert de poils », dér. de  villus  « poil ».
vincible|Empr. au lat. vincibilis  « qu'on peut vaincre; qui peut vaincre », dér. de  vincere  « vaincre » .
vinculer|Empr. au lat. vinculare  « enchaîner », dér. de  vinculum  « lien ». 
vindicte|Empr. au lat. vindicta  « baguette dont on touchait l'esclave que l'on voulait affranchir; action de revendiquer; vengeance; punition », dér. de  vindicare , v.  vindicatif . 
vinifère|Empr. au lat. vinifer  « qui produit du vin ».
violateur|Empr. au lat. violator  « celui qui porte atteinte à », « profanateur », dér. de  violare  . 
vineux|Empr. au lat. vinosus  « adonné au vin, pris de vin », « qui rappelle le vin ». 
violation|Empr. au lat. violatio  « profanation », « violation de parole », dér. de  violare , v.  violer . 
violatrice|Empr. au lat. violator  « celui qui porte atteinte à », « profanateur », dér. de  violare  . 
viole|Empr. à l'a. prov. viola  « viole » , lui-même issu d'un b. lat. * viola  , d'orig. discutée , peut-être onomat. Se substitue à partir du  xv <sup e</sup s. à  vielle *, dont il ne paraît être à l'orig. qu'un substitut particulièrement fréq. à la rime, quand l'instrument est devenu désuet ou provincial et que le mot  vielle , surtout utilisé dans des expr. péj. , n'a plus désigné que la vielle à roue . 
vinosité|Empr. au lat. vinositas  « suc vineux ».
vinaire|Empr. au lat. vinarius  subst. « marchand de vin » et adj. « relatif au vin ».
